unlock_station_name;geolocation_unlock
10 - Marqués de la Ensenada;{'type': 'Point', 'coordinates': [-3.69214, 40.42533]}
59 - Plaza de Juan Pujol;{'type': 'Point', 'coordinates': [-3.7043418, 40.4255495]}
40 - Conde de Romanones;{'type': 'Point', 'coordinates': [-3.7049407, 40.4138846]}
97 - Alcalá;{'type': 'Point', 'coordinates': [-3.6805189, 40.4222969]}
95 - Villanueva;{'type': 'Point', 'coordinates': [-3.6870548, 40.4226584]}
92 - Claudio Coello;{'type': 'Point', 'coordinates': [-3.6865463, 40.4262945]}
125 - General Martínez Campos;{'type': 'Point', 'coordinates': [-3.6948626, 40.435285]}
145 - Ortega y Gasset 87;{'type': 'Point', 'coordinates': [-3.6712823, 40.429887]}
123 - Guzmán el Bueno;{'type': 'Point', 'coordinates': [-3.7133412, 40.4306458]}
205 - Estrecho;{'type': 'Point', 'coordinates': [-3.7032777, 40.4535]}
107 - Columela;{'type': 'Point', 'coordinates': [-3.6884369, 40.4215246]}
210 - Tres Cruces;{'type': 'Point', 'coordinates': [-3.7026735, 40.419674]}
26 - Plaza de las Salesas;{'type': 'Point', 'coordinates': [-3.694475, 40.423855]}
108 - Mártires Concepcionistas;{'type': 'Point', 'coordinates': [-3.6706024, 40.4273005]}
224 - Caramuel;{'type': 'Point', 'coordinates': [-3.728533714316331, 40.40913630273305]}
252 - Chamartín;{'type': 'Point', 'coordinates': [-3.68391, 40.4716]}
172 - Delicias;{'type': 'Point', 'coordinates': [-3.6935833, 40.4008888]}
246 - Santa Engracia 87;{'type': 'Point', 'coordinates': [-3.69928, 40.43604]}
67 - Almadén;{'type': 'Point', 'coordinates': [-3.693225, 40.4108472]}
136 - Castellana 106;{'type': 'Point', 'coordinates': [-3.690861, 40.4453307]}
151 - Orense 12;{'type': 'Point', 'coordinates': [-3.6952943, 40.4489101]}
255 - López Pozas;{'type': 'Point', 'coordinates': [-3.68514, 40.46361]}
220 - Plaza del Encuentro;{'type': 'Point', 'coordinates': [-3.65122, 40.40617]}
31 - Calle Mayor;{'type': 'Point', 'coordinates': [-3.7068969, 40.4163638]}
199 - Fernando el Católico;{'type': 'Point', 'coordinates': [-3.7149166, 40.4343611]}
90 - General Pardiñas;{'type': 'Point', 'coordinates': [-3.6837876, 40.4250361]}
43 - Jesús y María;{'type': 'Point', 'coordinates': [-3.7025024, 40.4101564]}
63 - Ibiza;{'type': 'Point', 'coordinates': [-3.6708959, 40.4179237]}
158 - Alberto Alcocer;{'type': 'Point', 'coordinates': [-3.684715, 40.4585318]}
78 - Pedro Bosch;{'type': 'Point', 'coordinates': [-3.6744, 40.400789]}
176 - Beata;{'type': 'Point', 'coordinates': [-3.6937222, 40.39425]}
61 - Narváez;{'type': 'Point', 'coordinates': [-3.6752045, 40.4213983]}
211 - Desengaño;{'type': 'Point', 'coordinates': [-3.70239, 40.42059]}
116b - Plaza de España B;{'type': 'Point', 'coordinates': [-3.710537, 40.423681]}
3 - Plaza Conde Suchil;{'type': 'Point', 'coordinates': [-3.7069171, 40.4302937]}
38 - Plaza de los Carros;{'type': 'Point', 'coordinates': [-3.7114762, 40.4114041]}
149 - Paseo de la Habana 42;{'type': 'Point', 'coordinates': [-3.6881689, 40.4498613]}
135 - Plaza de San Juan de la Cruz;{'type': 'Point', 'coordinates': [-3.6927821, 40.4415974]}
187 - Alcalá-Ventas;{'type': 'Point', 'coordinates': [-3.6638888, 40.4301666]}
212 - Marqués de Vadillo;{'type': 'Point', 'coordinates': [-3.716591, 40.398247]}
56 - Plaza del Carmen;{'type': 'Point', 'coordinates': [-3.7032414, 40.4184192]}
1b - Puerta del Sol B;{'type': 'Point', 'coordinates': [-3.701602938060457, 40.41731271011562]}
216 - Puerta del Ángel;{'type': 'Point', 'coordinates': [-3.728318, 40.413764]}
82 - Niño Jesús;{'type': 'Point', 'coordinates': [-3.6697526, 40.4084556]}
165 - Entrada Matadero;{'type': 'Point', 'coordinates': [-3.6975708, 40.3928821]}
11 - San Andrés;{'type': 'Point', 'coordinates': [-3.7035918, 40.4269483]}
42 - Santa Isabel;{'type': 'Point', 'coordinates': [-3.6982318, 40.4107085]}
